recorded_date_time,timezone,sensor_name_serial_number,gain_setting,battery_voltage,tempeature_celcius
2021-01-19T15:16:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.7
2021-01-19T15:21:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.9
2021-01-19T15:26:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.9
2021-01-19T15:31:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.9
2021-01-19T15:36:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1
2021-01-19T15:41:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.9
2021-01-19T15:46:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.9
2021-01-19T15:51:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.7
2021-01-19T15:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.2
2021-01-19T16:01:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.9
2021-01-19T16:06:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1
2021-01-19T16:11:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.6
2021-01-19T16:16:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.7
2021-01-19T16:21:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.4
2021-01-19T16:26:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.2
2021-01-19T16:31:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.9
2021-01-19T16:36:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.6
2021-01-19T16:41:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.7
2021-01-19T16:46:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1
2021-01-19T16:51:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.7
2021-01-19T16:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1
2021-01-19T17:01:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.4
2021-01-19T17:06:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,0.6
2021-01-19T17:11:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1
2021-01-19T17:16:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.4
2021-01-19T17:21:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.8
2021-01-19T17:26:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.4
2021-01-19T17:31:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.7
2021-01-19T17:36:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,1.7
2021-01-19T17:41:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2
2021-01-19T17:46:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2.1
2021-01-19T17:51:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2.8
2021-01-19T17:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2
2021-01-19T18:01:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2.8
2021-01-19T18:06:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2.6
2021-01-19T18:11:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.6
2021-01-19T18:16:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,2.8
2021-01-19T18:21:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.1
2021-01-19T18:26:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.3
2021-01-19T18:31:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.3
2021-01-19T18:36:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.6
2021-01-19T18:41:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.7
2021-01-19T18:46:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.3
2021-01-19T18:51:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.7
2021-01-19T18:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.6
2021-01-19T19:01:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.7
2021-01-19T19:06:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.7
2021-01-19T19:11:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.9
2021-01-19T19:16:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4
2021-01-19T19:21:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.7
2021-01-19T19:26:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.7
2021-01-19T19:31:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.2
2021-01-19T19:36:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,3.9
2021-01-19T19:41:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4
2021-01-19T19:46:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.5
2021-01-19T19:51:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.4
2021-01-19T19:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.2
2021-01-19T20:01:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.7
2021-01-19T20:06:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.2
2021-01-19T20:11:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.2
2021-01-19T20:16:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-19T20:21:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-19T20:26:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T20:31:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.2
2021-01-19T20:36:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.5
2021-01-19T20:41:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.6
2021-01-19T20:46:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.6
2021-01-19T20:51:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T20:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T21:01:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T21:06:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.6
2021-01-19T21:11:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.2
2021-01-19T21:16:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.2
